Title,Genre,Rating IMDB,Rating TOMATO,Age Rating,Production Country,OTT
블랙 도브 (2024),"스릴러, 범죄, 액션, 드라마",7.2 (44k),94%,19,영국,Netplix
소용돌이 (2024),"애니메이션, 드라마, 공포, SF",6.5 (6k),80%,15,"미국, 일본",Netplix
칼키 AD 2898년 (2024),"판타지, SF, 스릴러, 액션, 드라마",7.1 (55k),77%,15,인도,Netplix
캐리온 (2024),"액션, 스릴러, 범죄, 드라마",6.5 (133k),88%,15,미국,Netplix
월레스와 그로밋: 복수의 날개 (2024),"코미디, 애니메이션, 가족, SF",7.7 (20k),100%,전체 이용가,영국,Netplix
완벽한 우리집으로 (2024),"드라마, 코미디",7.0 (11k),78%,19,미국,Netplix
드래곤볼 다이마 (2024),"애니메이션, 액션, 코미디, SF, 판타지",8.1 (5k),100%,12,일본,Netplix
단다단 (2024),"SF, 스릴러, 애니메이션, 액션, 코미디, 판타지, 로맨스",8.5 (22k),100%,7,일본,Netplix
혼돈의 세상에서 (2024),"액션, 드라마, 범죄, 스릴러",6.4 (13k),75%,19,미국,Netplix
눈물의 여왕 (2024),"드라마, 코미디, 로맨스",8.2 (17k),100%,15,대한민국,Netplix
우린 반대야 (2024),"로맨스, 코미디, 드라마",7.9 (51k),94%,19,미국,Netplix
NA HONJAMAN REBEREOP (2024),"판타지, 애니메이션, 액션, SF",8.3 (37k),100%,전체 이용가,"일본, 대한민국",Netplix
스파이가 된 남자 (2024),"코미디, 범죄",7.7 (24k),96%,15,미국,Netplix
백년의 고독 (2024),"드라마, SF, 판타지, 역사",8.5 (10k),85%,19,콜롬비아,Netplix
베이비 레인디어 (2024),드라마,7.7 (162k),99%,19,영국,Netplix
외계+인 2부 (2024),"액션, 판타지, SF",6.5 (2k),64%,전체 이용가,대한민국,Netplix
파묘 (2024),"스릴러, 공포, 드라마",6.9 (20k),95%,15,대한민국,Netplix
젠틀맨: 더 시리즈 (2024),"범죄, 액션, 코미디, 드라마",8.0 (152k),75%,19,"미국, 영국",Netplix
JIGRA (2024),"범죄, 드라마, 스릴러, 액션",6.1 (22k),69%,15+,인도,Netplix
오늘의 여자 주인공 (2024),"범죄, 드라마, 스릴러",6.6 (52k),91%,전체 이용가,미국,Netplix
삼체 (2024),"SF, 스릴러, 드라마, 판타지",7.5 (154k),79%,19,미국,Netplix
완전무결한 커플 (2024),"드라마, 스릴러, 범죄",6.5 (57k),65%,19,미국,Netplix
악마와의 토크쇼 (2024),공포,7.0 (111k),97%,15,"호주, 아랍에미리트, 미국",Netplix
"시몬 바일스, 더 높이 뛰어올라 (2024)","다큐멘터리, 스포츠",7.3 (2k),100%,15,미국,Netplix
스턴트맨 (2024),"코미디, 드라마, 로맨스, 액션",6.9 (158k),82%,15,"미국, 호주, 캐나다",Netplix
카오스 (2024),"코미디, 드라마, 판타지, SF",7.4 (39k),76%,15,영국,Netplix
러브 라이즈 블리딩 (2024),"로맨스, 범죄, 스릴러, 액션",6.6 (51k),94%,전체 이용가,"영국, 미국",Netplix
원 데이 (2024),"로맨스, 코미디, 드라마",8.1 (55k),92%,19,영국,Netplix
TALJU (2024),"스릴러, 액션, 드라마",6.4 (1k),69%,전체 이용가,대한민국,Netplix
RIPLEY (2024),"드라마, 스릴러, 범죄",8.1 (56k),86%,19,미국,Netplix
젠트리 차우 VS 지하 괴물들 (2024),"애니메이션, 액션, SF, 코미디, 가족, 판타지, 공포",7.9 (1k),100%,12,미국,Netplix
레블 리지 (2024),"범죄, 액션, 스릴러, 드라마",6.8 (78k),96%,전체 이용가,미국,Netplix
애비게일 (2024),"공포, 스릴러",6.6 (87k),83%,전체 이용가,미국,Netplix
혼자는 위험해 (2024),"코미디, 스릴러",6.0 (16k),73%,전체 이용가,미국,Netplix
히트맨 (2024),"코미디, 로맨스, 범죄",6.8 (106k),95%,전체 이용가,미국,Netplix
트레모르에서의 마지막 밤 (2024),"스릴러, 드라마",7.1 (3k),80%,19,스페인,Netplix
THE 8 SHOW (2024),"드라마, 스릴러, 코미디, 공포",7.2 (14k),75%,19,대한민국,Netplix
비밀의 비밀 (2024),"스릴러, 범죄, 드라마",6.8 (62k),71%,15,"영국, 미국",Netplix
넌센스 크리스마스 쇼: 사브리나 카펜터 (2024),"음악, 다큐멘터리, 코미디",6.4 (2k),100%,15,미국,Netplix
나쁜 녀석들: 라이드 오어 다이 (2024),"스릴러, 액션, 코미디, 범죄",6.5 (91k),65%,15,미국,Netplix
왓츠 인사이드 (2024),"코미디, SF, 스릴러",6.6 (35k),79%,전체 이용가,미국,Netplix
터미네이터 제로 (2024),"SF, 애니메이션, 액션",7.0 (11k),86%,19,"미국, 일본",Netplix
아버지의 세 딸들 (2024),"드라마, 코미디",7.2 (15k),98%,전체 이용가,미국,Netplix
쿵푸팬더 4 (2024),"판타지, 애니메이션, 액션, 코미디, 가족",6.3 (63k),71%,전체 이용가,"일본, 미국",Netplix
미제 사건: 존베네 램지 (2024),"다큐멘터리, 범죄, 스릴러",6.9 (3k),100%,19,미국,Netplix
슈퍼셀 (2024),"SF, 액션, 드라마",7.0 (18k),100%,19,영국,Netplix
테리토리 (2024),"드라마, 서부, 액션",6.9 (5k),86%,19,호주,Netplix
그해 크리스마스에는 (2024),"판타지, 애니메이션, 가족, 코미디",6.8 (16k),66%,전체 이용가,영국,Netplix
이벨린의 비범한 인생 (2024),"다큐멘터리, 애니메이션",8.2 (10k),97%,전체 이용가,노르웨이,Netplix
핍의 살인 사건 안내서 (2024),"범죄, 드라마, 스릴러",6.8 (17k),82%,19,"영국, 독일",Netplix
피아노 레슨 (2024),"드라마, 음악",6.2 (4k),88%,15,미국,Netplix
프라블러미스타 (2024),코미디,6.8 (7k),86%,15+,미국,Netplix
윌과 하퍼 (2024),"다큐멘터리, 코미디",7.4 (10k),99%,15,미국,Netplix
데카메론 (2024),"코미디, 드라마, 역사",6.4 (9k),70%,19,미국,Netplix
마하라지 (2024),"스릴러, 액션, 범죄, 드라마",8.4 (60k),83%,전체 이용가,인도,Netplix
신들의 황혼 (2024),"애니메이션, 액션, 판타지, SF",7.3 (7k),76%,19,"프랑스, 미국",Netplix
그림 동화 변주곡 (2024),"SF, 드라마, 애니메이션, 판타지, 공포",6.3,100%,19,일본,Netplix
섀도우의 13 (2024),"스릴러, 액션, 범죄",6.5 (8k),91%,전체 이용가,"인도네시아, 미국",Netplix
던전밥 (2024),"애니메이션, 액션, SF, 코미디, 판타지",8.0 (8k),100%,15,일본,Netplix
가쁜 숨으로 (2024),드라마,6.5 (2k),71%,19,스페인,Netplix
아바타: 아앙의 전설 (2024),"액션, 드라마, SF, 코미디, 가족, 판타지",7.2 (77k),60%,12,미국,Netplix
에릭 (2024),"범죄, 드라마, 스릴러",6.9 (37k),73%,19,"영국, 미국",Netplix
그리셀다 (2024),"드라마, 범죄",7.2 (46k),86%,19,미국,Netplix
닥터 슬럼프 (2024),"코미디, 드라마, 로맨스",7.5 (4k),100%,15,대한민국,Netplix
미스터 맥마흔 (2024),"다큐멘터리, 범죄, 스포츠",7.7 (9k),69%,19,미국,Netplix
KHEL KHEL MEIN (2024),"코미디, 드라마",6.5 (26k),78%,전체 이용가,인도,Netplix
황제가 돌아왔다: 엘비스 프레슬리의 몰락과 부활 (2024),"다큐멘터리, 음악",7.6 (1k),75%,전체 이용가,미국,Netplix
쥬라기 월드: 카오스 이론 (2024),"애니메이션, 액션, 가족, SF",7.5 (2k),100%,12,미국,Netplix
비버리 힐스 캅: 액셀 F (2024),"범죄, 액션, 코미디, 스릴러",6.4 (78k),67%,전체 이용가,미국,Netplix
아순타 케이스 (2024),"범죄, 드라마",6.8 (8k),100%,19,스페인,Netplix
페드로 파라모 (2024),"판타지, 서부, 드라마, 스릴러, 공포, 로맨스",6.3 (2k),77%,전체 이용가,멕시코,Netplix
터닝 포인트: 핵무기와 냉전 (2024),다큐멘터리,8.4 (4k),100%,15,미국,Netplix
ARTICLE 370 (2024),"스릴러, 액션, 드라마",7.8 (23k),83%,15+,인도,Netplix
도쿄 사기꾼들 (2024),"범죄, 드라마, 스릴러",7.3 (2k),100%,19,일본,Netplix
마사 (2024),다큐멘터리,7.2 (3k),89%,전체 이용가,미국,Netplix
"보드킨, 그들이 사라진 마을 (2024)","드라마, 스릴러, 코미디",6.9 (18k),69%,19,미국,Netplix
선 브라더스 (2024),"코미디, 드라마, 액션",7.5 (27k),84%,15,미국,Netplix
빈스 스테이플스 쇼 (2024),"드라마, 코미디, 음악",7.4 (2k),94%,15,미국,Netplix
스타팅 5 (2024),"다큐멘터리, Reality TV, 스포츠",7.2 (1k),60%,15,미국,Netplix
스위트 보비: 악몽의 캣피싱 (2024),다큐멘터리,6.2 (4k),70%,전체 이용가,영국,Netplix
슈퍼섹스 (2024),"드라마, 역사",6.2 (4k),75%,19,이탈리아,Netplix
나만 빼고 다 잘 살아 (2024),"코미디, 드라마, 로맨스",7.0 (1k),80%,15,Arjantin,Netplix
더 시그널 (2024),"드라마, SF, 스릴러",6.0 (7k),86%,15,독일,Netplix
데드 보이 탐정단 (2024),"공포, 액션, 코미디, 범죄, 드라마, 판타지, SF",7.5 (19k),92%,19,미국,Netplix
뒤바뀐 신부들 (2024),"코미디, 드라마",8.4 (47k),100%,전체 이용가,인도,Netplix
더 보이프렌드 (2024),"Reality TV, 로맨스",7.8 (1k),100%,15,일본,Netplix
히틀러와 나치: 심판대에 선 악마 (2024),"다큐멘터리, 역사",7.7 (3k),100%,19,미국,Netplix
와이어트 어프와 카우보이 전쟁 (2024),"서부, 다큐멘터리, 드라마",7.8 (3k),80%,19,미국,Netplix
울트라맨: 라이징 (2024),"SF, 애니메이션, 액션, 코미디, 가족, 판타지",6.9 (5k),86%,전체 이용가,"미국, 일본",Netplix
아메리칸 머더: 레이시 피터슨 살인 사건 (2024),"다큐멘터리, 범죄",7.0 (5k),100%,12,미국,Netplix
더 고트 라이프 (2024),"드라마, 액션",7.1 (46k),78%,15,인도,Netplix
닌자의 집 (2024),"액션, 드라마, 스릴러",7.1 (7k),100%,15,일본,Netplix
우주를 삼킨 소년 (2024),"범죄, 드라마, 스릴러",7.9 (19k),87%,19,호주,Netplix
억만장자의 섬 (2024),"코미디, 드라마",6.3 (1k),100%,19,노르웨이,Netplix
고요 (2024),"드라마, 로맨스, 코미디",6.5 (2k),86%,전체 이용가,Arjantin,Netplix
SARINJA-NG-NANGAM (2024),"코미디, 범죄, 스릴러, 드라마",7.1 (7k),100%,전체 이용가,대한민국,Netplix
기생수: 더 그레이 (2024),"SF, 액션, 드라마, 공포, 스릴러",7.1 (13k),100%,19,대한민국,Netplix
레즈 볼 (2024),"드라마, 스포츠",6.3 (2k),94%,15,미국,Netplix
괴짜지만 예쁜 걸 (2024),"드라마, 코미디",6.7 (7k),100%,12,영국,Netplix
내 친구 어둠 (2024),"애니메이션, 코미디, 가족, 판타지",6.3 (16k),92%,전체 이용가,"프랑스, 미국",Netplix
파워 (2024),다큐멘터리,6.0,79%,전체 이용가,미국,Netplix
인드라니 무케르지 사건: 파묻힌 진실 (2024),"다큐멘터리, 범죄",6.2 (2k),67%,15,인도,Netplix
익스플로딩 키튼 (2024),"애니메이션, 코미디",6.8 (4k),72%,19,미국,Netplix
앨리 웡: 싱글 레이디 (2024),"다큐멘터리, 코미디",6.2 (1k),86%,전체 이용가,미국,Netplix
이 영화는 망했어! (2024),코미디,6.4 (1k),83%,19,프랑스,Netplix
재클린 노백: 무릎 꿇어! (2024),"코미디, 다큐멘터리",6.7,100%,전체 이용가,미국,Netplix
조코 안와르: 나이트메어 앤 데이드림 (2024),"SF, 스릴러, 드라마, 공포",6.5 (2k),88%,19,인도네시아,Netplix
특종의 탄생 (2024),드라마,6.5 (19k),76%,15,영국,Netplix
롤로와 키드 (2024),"가족, 드라마",6.4,100%,15,필리핀 제도,Netplix
맵고 뜨겁게 (2024),"액션, 코미디, 드라마, 스포츠",6.9 (3k),82%,15,China,Netplix
아폴로 13호: 극한의 생존기 (2024),"다큐멘터리, 역사",7.3 (2k),100%,15,"미국, 영국",Netplix
트리부반 미슈라: 회계사의 이중생활 (2024),"스릴러, 코미디, 범죄, 드라마",7.0 (3k),67%,19,인도,Netplix
홈리스 월드컵 (2024),"드라마, 스포츠",6.3 (7k),88%,15,"영국, 미국",Netplix
나쁜 놈들 (2024),"액션, 드라마, 범죄, 스릴러",7.0 (3k),80%,19,독일,Netplix
잿빛 석탄 (2024),"범죄, 드라마, 스릴러",6.1 (4k),67%,19,프랑스,Netplix
아빠와 딸의 춤 (2024),다큐멘터리,7.6 (1k),100%,전체 이용가,미국,Netplix
극악여왕 (2024),"드라마, 스포츠",7.5,100%,15,일본,Netplix
악마를 위한 춤: 틱톡 사이비 교단 7M (2024),"다큐멘터리, 범죄",6.1 (4k),78%,15,미국,Netplix
ALL INDIA RANK (2024),"코미디, 드라마",6.0 (1k),62%,15+,인도,Netplix
MERRY CHRISTMAS (2024),"드라마, 스릴러",6.9 (29k),85%,15+,인도,Netplix
"연인, 스토킹, 살인 (2024)","범죄, 다큐멘터리",7.0 (12k),92%,전체 이용가,영국,Netplix
선산 (2024),"드라마, 스릴러, 범죄",6.4 (2k),83%,15,대한민국,Netplix
악의 색깔: 레드 (2024),"스릴러, 범죄, 드라마",6.4 (7k),80%,전체 이용가,폴란드,Netplix
"더 프로그램: 사기, 컬트, 납치 (2024)","다큐멘터리, 범죄",7.4 (5k),100%,19,미국,Netplix
마운틴 퀸: 락파 셰르파 (2024),다큐멘터리,7.6 (1k),100%,전체 이용가,미국,Netplix
애덤 샌들러: 애정 충만 (2024),코미디,6.7 (2k),92%,전체 이용가,미국,Netplix
스카이워커스: 사랑 이야기 (2024),"다큐멘터리, 로맨스, 스릴러",7.1 (3k),74%,15,미국,Netplix
미스터리 수사단 (2024),"Reality TV, 범죄",6.7,60%,15,대한민국,Netplix
아메리카스 스위트하츠: 댈러스 카우보이스의 치어리더들 (2024),다큐멘터리,7.0 (2k),100%,15,미국,Netplix
"그 남자에겐 1,000명의 자식이 있다 (2024)","다큐멘터리, 범죄",6.6 (2k),92%,15,영국,Netplix
팝 역사상 가장 위대한 밤 (2024),"다큐멘터리, 음악",7.9 (14k),98%,전체 이용가,"영국, 미국",Netplix
골든 카무이 (2024),"액션, 역사, 서부, 코미디",6.3 (2k),100%,전체 이용가,일본,Netplix
존 멀레이니: 다 같이 LA로 (2024),코미디,7.1 (1k),83%,전체 이용가,미국,Netplix
아메리칸 컨스피러시: 옥토퍼스 살인 (2024),"범죄, 다큐멘터리",6.7 (3k),83%,15,미국,Netplix
안티소셜 네트워크: 밈에서 대혼란으로 (2024),다큐멘터리,6.3 (2k),94%,전체 이용가,미국,Netplix
파이널: 웸블리 습격 (2024),"다큐멘터리, 스포츠",6.3 (2k),100%,전체 이용가,영국,Netplix
맘라 리걸 하이 (2024),"코미디, 드라마",8.0 (10k),86%,15,인도,Netplix
SRIKANTH (2024),드라마,7.4 (13k),78%,12+,인도,Netplix
셜리 치점 (2024),"드라마, 역사",6.2 (3k),74%,15,미국,Netplix
아인슈타인과 원자폭탄 (2024),"다큐멘터리, 드라마, 역사",6.2 (3k),83%,15,영국,Netplix
퍼레이드 (2024),드라마,6.6,60%,15,일본,Netplix
아웃스탠딩: 코미디 레볼루션 (2024),"다큐멘터리, 코미디",7.4,100%,전체 이용가,미국,Netplix
MAI (2024),"드라마, 로맨스",6.8 (1k),80%,전체 이용가,WEBAPP_COUNTRY_VN,Netplix
좋아해도 싫어하는 (2024),"애니메이션, 판타지, 드라마, 가족",6.0 (1k),63%,전체 이용가,일본,Netplix
참킬라 (2024),"로맨스, 드라마, 음악",7.8 (15k),88%,전체 이용가,인도,Netplix
우리의 살아있는 지구 (2024),다큐멘터리,7.6,100%,12,영국,Netplix
KILLER SOUP (2024),"코미디, 드라마, 스릴러",6.3 (4k),69%,전체 이용가,인도,Netplix
가상의 가상화폐 (2024),"다큐멘터리, 범죄",6.5 (3k),100%,전체 이용가,미국,Netplix
